minute_idx,BTC,DOGE,ETH,SOL,XRP
234,1464712.8844524545,41108.49327709091,1641582.1998415454,584947.478299091,332895.6218
235,1851931.6003591819,51099.774785,1501829.7081277273,659327.4145699999,167557.67365363636
236,1589261.8102385455,55604.33829636364,1328988.407648091,800318.0701954545,153033.3362390909
237,2179385.366937658,57018.89382333334,1399404.1566864864,815802.6999090089,125316.01028378378
238,1517689.8402016363,37396.885247363636,1509096.701064909,1598768.6902354546,126181.19492545455
239,2176395.716694587,33255.17594238532,2117917.836053211,1073532.0368211009,152477.20697522935
240,2012634.1573846296,48417.39236157407,1546473.556034537,694330.1720546297,151804.97860185185
241,2031290.034462,31530.154471454545,1759213.1150996364,735466.4771581817,105185.8182909091
242,1964583.0232102778,30578.615731111113,1985980.4463085185,655813.6382259259,153593.76035185184
243,1979620.9816145455,29935.06207918182,1855572.5799572729,702706.8904818181,126404.23706272728
244,2169481.9186063637,19269.856415181817,2058982.5454445453,629117.4607918181,88240.18999090909
245,1782060.351686091,32643.19475690909,1790773.8545272727,613290.2537218182,110908.8982559633
246,1680283.2227947223,29370.27556740741,1478508.8669646296,501265.6138407407,93824.00891651376
247,2073505.0848122523,29935.525690090093,1729893.6511150452,486587.914018018,82499.22642072072
248,2288460.8138249093,26010.32617381818,1949085.969152909,575739.0955281818,104522.89411727274
249,2000953.3897186238,28429.301043669722,2486348.012411009,565990.3780908257,89623.54469633027
250,1991802.682668257,35751.624847431194,2470696.514721193,519919.97140000004,116894.34292752294
251,1459692.3250541964,28517.15646419643,1462730.3928344643,640821.7608705357,95107.60040535715
252,1733963.6887612843,24237.62011587156,1669552.4553944955,628038.0353651376,126241.59174587156
253,2050229.7319519266,31307.073546330277,2576153.4628655044,644660.4809623853,129328.2722
254,1886077.8790429728,29583.643434774778,2204824.8899253155,688477.018490991,125387.43705045046
255,1766997.4671998147,25877.64513527778,2138850.8247420373,588883.5488953703,118120.65036388888
256,1920875.4614425688,27315.99480559633,2944661.383725596,624259.0655798166,130258.15031100917
257,1921430.4432520182,32719.67439669725,2062250.0098863305,746102.7465119266,107315.59275045872
258,1717023.7912185455,33944.94771163636,2369915.594415,678843.2689100918,127314.11011651375
259,1787497.1448549998,31326.505992818184,2347156.3547523636,792392.129509009,138220.96311711712
260,1626954.951843148,33388.46590481482,1817488.1403564815,625822.2072731481,115183.62627129629
261,1515192.125880367,27639.40188412844,2495047.1584033943,722259.6372238531,101744.81551651376
262,1656948.5822113636,31609.823520090908,1910382.5338236364,596050.3932345455,102985.8542618182
263,1870664.0967210908,32523.383768715597,2165239.64704945,646327.3845733945,110333.47125229357
264,2269153.731054404,23615.254531454546,2338777.2724338183,636146.4521836364,112399.19587000001
265,1734089.6109471295,33747.82619907407,2069814.0964560185,617205.1589481481,86545.55964907407
266,1472563.557206091,29350.552083090908,1929527.9104667273,471326.44462545455,96587.64293545454
267,1399913.9138063637,32280.26063109091,2292172.863911,575756.4717445455,90316.0682909091
