minute_idx,BTC,DOGE,ETH,SOL,XRP
87,2318922.484528532,24049.04147036697,1084936.7299604586,309333.4239211009,107939.99712110093
88,2210002.3407078376,18410.285492612613,2013409.553816937,453989.28512882884,91610.80185495496
89,2151668.1292623635,32475.242570545455,1351399.2233013636,453693.43120636366,98831.95239727272
90,2002173.709062,16500.989141272727,924478.0608742727,400519.44677545456,154191.15810636364
91,1487851.9386669998,15934.234078090909,910251.5786615454,637340.5139890909,127532.4015481818
92,1367257.4024067568,12376.635220990991,1032421.9990658559,582852.9662981982,112542.41002792792
93,2332847.7143038316,21252.203508878505,1192537.7163406543,276603.48982429906,48249.945185981305
94,1863504.8290000916,20847.606823853213,1178392.6230811926,448210.8332266055,95337.98257522935
95,2313748.88018991,15472.19098126126,1096136.6284883784,710335.7028405406,164701.12151801802
96,1727519.1192376364,24926.544244999997,1042791.708802909,338731.19214454544,104953.28844954129
97,1214945.6006473394,12226.488229724771,1138440.2363809173,340571.65964495414,93323.12086636364
98,1507989.0559266973,14625.820275504586,1500392.7440727525,421064.74715779815,128100.13351926606
99,2656943.629090273,13294.701459636364,1020811.884449,580176.44279,99496.76721272728
100,1734945.283395321,16606.158554036694,1408957.9892505505,714612.1520669725,63942.54446880734
101,1542921.4600443118,21201.59024706422,1133436.7102306422,408759.5958844036,121253.02898348623
102,1847991.3854209909,32376.19936603604,1779564.480654955,457410.9911612613,101329.3846900901
103,1568241.8772711111,12776.673139629629,1081982.2251596297,336971.966550926,119453.4919388889
104,1782762.767243578,17794.332088623854,1084600.966891835,332853.44613027526,101519.6786733945
105,1859947.9559338533,13989.02081972477,1002723.8817363303,404716.12324128434,129054.41970458717
106,1780660.764104054,16422.14737153153,1330369.3614559458,512986.0921738739,128493.35184954954
107,1234872.4741579092,22363.455522000004,1161210.0461119092,413677.3813590909,106525.38956636364
108,1493641.0194412037,14915.428186481482,1031744.657045,401252.3536324074,177545.22842314816
109,2054833.337992909,23324.04912754545,1491944.843248091,359911.46453909087,121752.80228363637
110,1405938.912427909,19447.775633727273,1054540.0839682727,508712.52565090905,97927.90575090909
111,2589255.396979364,19643.750995727274,1349275.7079124546,484682.54522545455,113521.0412290909
112,2024330.9812921297,38390.08958166667,1467059.0047699076,456739.73627407406,130073.1475462963
113,2311701.3191266055,22637.855138532108,1468953.549966055,772938.401819266,122622.03104678898
114,1569511.1598256363,18604.232119727276,1611075.1712152727,443465.50182909094,137553.05823727272
115,2037958.4216401833,14254.816101651377,1462017.7544423854,471424.8612706422,136302.383806422
116,2396003.6868760185,14396.976241944443,1388304.9956143517,422870.65558888885,109988.72429444444
117,1452150.4773708181,12630.149946818181,1133415.926034,438727.28274454543,124544.7550081818
118,1064444.4469680001,14568.37601190909,1391329.2095540909,390372.31946,169321.30255909092
119,2142660.843393784,16679.878944684686,3047639.27894991,427381.2689099099,123937.45312522523
120,2175674.7324997247,21231.252571100915,1819319.8680857797,633644.1480651376,89815.45410366972
121,1851667.7260572973,22127.68731900901,1204845.699036126,458006.9009279279,91621.59487387387
122,1688054.1608674775,16076.452680900902,1388061.414663063,484779.5478690909,96118.64323272728
123,1290916.9647412729,25774.696607636364,1477210.2612069088,375087.55136036035,114506.64748018018
124,1795218.5165991073,19795.44505080357,1359950.04281125,446019.12733839283,96820.80459285714
125,1733883.453420367,24297.230218807337,1342170.8662662385,408975.6087155963,71310.32270183487
126,1865292.9980685452,18666.721835636363,1161512.2054709091,430475.4151272727,110491.46996181819
127,1510079.236593909,27141.304002090907,1460636.1395116365,673276.2328227272,117137.16147909092
128,1592837.2767085454,24300.64572790909,1497982.7732208183,392811.3047881818,129869.36454818182
129,1788433.3049506363,69823.80973636363,1320166.9702917272,282671.6857318182,146097.2948090909
130,2365593.765245182,24814.761998636364,1339819.190861091,531189.0895181819,132540.61235545453
131,2166716.8345516217,40130.509153693696,1503427.3374994595,297830.2706855856,170705.03456126127
132,2073662.7935416214,27103.727237207208,1222372.3520456757,630070.433272072,102118.87927567567
133,2725492.138570642,24669.75256348624,1463275.4903816513,476219.37661926606,144871.6185559633
134,1548650.19691578,17269.558059357798,991687.5095848624,281221.1790247706,130991.22099266054
135,1339060.5845176578,25188.38177018018,1151953.157561982,394813.9943243243,98407.19490180179
136,1281541.3263366055,46795.721884770646,1327308.4017820184,360212.7667688073,156893.06985596332
137,1907510.7443165765,19474.996984144145,1356781.7449889188,567845.8810666667,170745.0237936937
138,1697676.75995,13222.84485962963,1266928.6703642593,194794.13349907406,120307.63597222223
139,1213337.7944043244,20279.534376036037,1280265.2794531533,499504.2961765766,198297.17228108106
140,1680147.0905550001,34949.409118818185,1220544.7020474544,627846.2671945454,124328.56760818182
141,2074131.5446288888,18672.11314240741,1577577.870781852,463189.7136472222,114920.65041203704
142,2584939.7003853633,16653.570421454544,1322268.3625341817,402590.0847472727,69288.54658454546
143,2199535.1551548624,16541.155544220182,1916679.340832477,361681.98712201836,105878.1037788991
144,1746032.9103032728,22644.23439718182,1165511.751938909,571136.5826618181,98800.51348090908
145,1835704.6627420185,15740.174263394496,1374330.416536789,520236.30830091744,85305.15180183486
146,2005144.89493211,23138.993714495413,1232610.1420625688,502128.5349954128,99030.65871376146
147,1257688.9558494496,21627.65977834862,1266770.3318688073,447522.5722165138,142773.05735229357
148,1057823.8631883636,17282.997449454546,1311851.9001864546,575535.1572027273,167008.77313454545
149,894974.5172888073,16183.963050091745,946658.3234943119,373718.7898357798,119048.56932660552
150,1361446.5935483486,25541.412389266057,1112418.6454311009,440376.29865688074,171167.49421100918
151,2630296.9799955143,22108.16204551402,1582862.1042480373,674552.4382280373,120469.84730841122
152,2078034.4863826125,19899.076375225224,1482886.7095111713,507582.12605765765,96260.35492432433
153,2367164.0208159094,15653.421025454545,1116824.4741198183,345419.89068454545,94088.77553181819
154,1806302.1041099092,16194.481085818183,1160394.4662133637,293359.9142354545,93486.71842181818
155,2467296.366829189,15008.515345855854,1117950.6387024324,404142.4882495495,86495.80610180179
156,1720645.0111977065,16286.25036412844,1133549.5223284403,1053092.7123036697,92483.47777981652
157,1991542.743139909,11945.322546727271,1082092.0346421818,837001.8905772727,137764.55296727273
158,2060491.3894474544,19913.40419572727,1345621.1292814545,540990.2875581819,89823.09043727274
159,769645.6313692592,18536.622185277778,1445100.452571852,278201.3661555556,125147.7068851852
160,1793422.577225,16865.857046666668,1572342.1828953703,475723.962062037,128555.858425
161,1127819.912078257,10527.053294770642,1184778.129805321,492752.1864724771,121058.04103486238
162,1265140.902583148,14072.729578703704,1244997.4307683334,454497.92351296294,144446.94977685183
163,1834798.9134326605,11142.280751559634,1346444.871203578,678129.2625954128,83766.61790642202
164,1765987.1276513636,12451.376033454546,1251043.099797,547096.4203627273,145330.01175363635
165,1015398.5727104504,12641.597757747748,850711.1870051351,332437.10763423424,80549.66365585585
166,2117100.2922148183,15225.130927999999,1588378.090354,628013.6030754546,92897.30936090909
167,1714055.755748091,14455.847245909092,1509846.435643909,350046.7460045454,119369.4393009091
168,1121015.084960367,20324.242973669723,1020603.0669968808,290235.0934731481,148092.33215925924
169,1889250.7725771558,10799.276651559632,1379856.5971373394,385841.4451518182,92363.65561272728
170,2307764.027893455,22842.33248563636,1277567.4545266363,497731.18821727275,141089.81613545454
171,2275697.442558991,13580.861596972476,1462479.7966217431,595348.6670862385,133835.72057431194
